title,text,fake
Jimmy John's owner spent $350k to 'trophy hunt' extremely endangered female Black Rhino,"Jimmy John's owner spent $350k to 'trophy hunt' extremely endangered female Black Rhino 
Tuesday, November 01, 2016 by: Ethan A. Huff, staff writer Tags: Jimmy Johns , endangered species , trophy hunting (NaturalNews) The owner of the American fast food chain Jimmy John's is under fire after photos emerged of him smiling and giving a ""thumbs up"" beside numerous endangered species that he's hunted and killed throughout Africa over the years, for seemingly no other purpose than simply to invoke death for pleasure.Reports indicate that Jimmy John Liautaud has been spending hundreds of thousands of dollars per hunting trip to gain access to these precious species, including one particular ""trophy"" hunt in which he spent a whopping $350,000 just to kill an extremely endangered female Black Rhino. Graphic photos of Liautaud with this rhino and other animals are available here , but be warned: these images are horrifyingly upsetting.Liautaud's trophy hunts are apparently a routine pastime of his, just as they are for the many other bored millionaires out there with too much time and money on their hands who seem to get a kick out of taking out the rarest animals on our planet – beautiful creatures like leopards, rhinos, lions, and even elephants, which have the largest brains of any land animals. It's the type of thing that, if more people knew about it, they'd likely stop eating at Jimmy John's altogether.Mr. Jimmy John's poaching fetish has been making the media rounds, and many are now calling on a national boycott of the sandwich chain, which has already been exposed for underpaying its employees and treating them like slave workers. The Wall Street Journal (WSJ) reported that social media users had attempted to launch a boycott of Jimmy John's using the ""#boycottjimmyjohns"" hashtag on Twitter, though the company didn't seem all that phased.Still, the issue hasn't gone away, and many in the public remain outraged over what they say is reckless and reprehensible behavior. Not only is Liautaud killing these rare and exotic animals in cold blood, but he's doing so in such an utterly cruel way that even the most avid hunters would be hard-pressed not to cringe or perhaps shed a few tears.""[U]sually the animals are lured from a national park on to private property,"" Lara Starr, investigative writer and co-founder of The Earth Child writes, noting that this is not the method Liautaud uses to kill his prey. ""Trophy hunters will leave out bait, play the sounds of other animals to lure them in, or a few other tactics to find their animal victims.""""Canned hunting is even worse,"" she adds. ""It is the 'shooting fish in a barrel' version of trophy hunting . The animals are often hand raised so they are tame and don't run away. They leave food out for them one day, then some coward creeps up and shoots them with a high powered bow or rifle. Sometimes they don't even have to creep. Sometimes they just shoot them from the back of a truck, then go back to drinking their gin & tonic like it was just a bit of harmless fun."" Trophy hunting costs do NOT help repopulate endangered animal species One of the excuses often used as justification for expensive trophy hunting escapades is that all that cash ends up getting donated to conservation programs that help repopulate the prairies, plains, and jungles with endangered species. But this isn't actually true, as only about two percent of the proceeds from these hunts ends up being used for conservation purposes.Non-trophy hunting tourism, on the other hand, is responsible for the bulk of conservation donations -- up to 15 times than what trophy hunting contributes -- according to Heather Callaghan, editor of Natural Blaze . Likewise, the claim that animals killed on trophy hunts are used to provide food for locals is also bunk, as most of the carcasses end up getting left behind for scavengers. Sources:",1
"Dakota Access Pipeline violence grows as militarized police use extreme force, tear gas on praying protesters","Dakota Access Pipeline violence grows as militarized police use extreme force, tear gas on praying protesters 
Tuesday, November 01, 2016 by: J. D. Heyes Tags: Dakota Access Pipeline , protestors , police violence (NaturalNews) Tensions are ratcheting up in a region of North Dakota where construction of a pipeline that will take oil to a refinery facility in Illinois is being built, as protestors objecting to the project are clashing with increasingly militarized police . The Bismark Tribune reported that police and protestors clashed as authorities moved in to break up a camp on private property belonging to the pipeline developers.Protestors had initially formed a line of no surrender, the paper said, but it became a line of retreat in the face of a militarized police presence that overwhelmed hundreds of Dakota Access Pipeline protestors, pushing them back from the front line of resistance to their main camp.For about five hours on Thursday, beginning around noon, police officers pressed the protesters back about a half-mile on N.D. Highway 1806, which was away from a new camp they had built earlier in the week that sat directly atop the pipeline easement. Rubber bullets, bean bags, smoke grenades and tasers Unrest continued into the evening hours, however, as police said that two fires were started on a nearby bridge, and protestors began lobbing Molotov cocktails at officers. In addition, police reported two incidents where shots were fired.The Tribune reported that one woman allegedly fired a handgun in the direction of police as she was being arrested, while an armed man who was reportedly run off the road by protesters, and was perhaps not connected to the protest, had to be treated for a gunshot wound to the hand.As police moved in, some protestors were urging calm and prayer, but others threw rocks and water bottles at approaching officers. Eventually the crowd retreated under a barrage of pepper spray, rubber and bean bag bullets, smoke grenades and tasers.By late afternoon, flames and thick plumes of smoke belched out of the cab of one of three Dakota Access Pipeline earth movers, while protestors walked back to their main camp on U.S. Army Corps of Engineers' land.In all, police arrested 141 people, the local sheriffs' department said, charging suspects with engaging in a riot, maintaining a public nuisance, and conspiracy to endanger by fire and explosion.A day before the violence, as reported by AMI Newswire , opponents of the pipeline barricaded a highway and pitched their camp on private land. These actions were led by members of the Standing Rock Sioux Tribe.The previous weekend some 127 people had been arrested.Standing Rock Chairman Dave Archambault II issued a statement last week in which he blamed the rising militarization of police for the increased tensions.""The militarization of local law enforcement and enlistment of multiple law enforcement agencies from neighboring states is needlessly escalating violence and unlawful arrests against peaceful protesters at Standing Rock,"" Archambault said, as quoted by AMI Newswire . ""We do not condone reports of illegal actions, but believe the majority of peaceful protesters are reacting to strong-arm tactics and abuses by law enforcement."" Destruction of burial grounds, water are chief concerns Law enforcement officers countered by saying that, for the vast majority of the protest thus far, they have shown remarkable patience and restraint, and that they only moved after protestors became more aggressive.Morton County Sheriff Kyle Kirchmeier ticked off a list of alleged violations by protestors, including buzzing a police helicopter with a drone and firing arrows in the direction of officers. He also said that journalists had been harassed and security personnel assaulted.""For months protesters have described us as an aggressive police force,"" Kirchmeier said in a prepared statement, AMI Newswire reported. ""We have done nothing but demonstrate patience and restraint.""Protestors are angry about the pipeline stretching across ancient burial grounds, NewsTarget reported , as well as the potential for pipeline leaks that would pollute local water sources . Sources:",1
Health experts share the top home remedies for fighting a cold,"Health experts share the top home remedies for fighting a cold 
Tuesday, November 01, 2016 by: Amy Goodrich Tags: cold symptoms , natural remedies , immune booster (NaturalNews) Stay well during the colder months with these simple, time-tested home remedies to prevent a common cold, help shorten the duration and get you feeling better in no time. A common cold is caused by a virus, so there is no point in taking antibiotics which only kill bacteria. While there is a host of over-the-counter remedies available to soothe the symptoms of a common cold, nature offers far better and safer solutions.We all know the prevention drill. Load up on immune boosting foods rich in vitamin C , exercise regularly and wash your hands often. But what else is there you can do to avoid a runny nose, sore throat or a cough? Seven Health editors reveal their sickness-preventing secrets. Gargle salt water If you feel the first signs of a scratchy throat, Jeannie Kim, executive deputy editor, recommends a salt-water gargle. She is convinced that it has stopped countless of her colds. To soothe a sore throat and kill the sick-making germs, combine half a teaspoon salt with one cup of water and gargle. Repeat several times a day until scratchiness disappears. Create some heat According to Clare McHugh, editor-in-chief, a hot bath or shower is the thing you need. She explains that viruses that cause a common cold don't like the heat and are discouraged to multiply if you keep your body warm. And why not add immune boosting and cold fighting essential oils to your bathtub to enhance the healing effect?Furthermore, you could try the good old hot water bottle to help loosen phlegm and deep congestions in the chest. Swallow raw garlic If you don't mind to sweat it out and have a garlic breath, Lisa Lombardi, executive editor, recommends eating or swallowing raw garlic. While the next day her symptoms usually get worse, she feels better in 3 days.If you cannot stomach garlic's taste and spiciness, then you might want to go with the traditional garlic cure which consists of garlic, lemon, and honey. Crush one clove of garlic and add it to a cup of warm water with one teaspoon of honey and the juice of one lemon. Give it a good stir and repeat this remedy two to three times a day for the duration of your symptoms. Take Echinacea Michael Gollust, the research editor, swears by echinacea lozenges. He says that while they don't stop a cold in its tracks, they definitely reduce the severity of the symptoms. The BBC, however, reports on a comprehensive review that scanned the literature and included only the very best studies, showing that people who use echinacea may also have 10 to 20 percent less chance to catch a common cold. Stay hydrated Most Health experts agree that hydration is essential for a speedy recovery. Anthea Levi, the editorial assistant, adds that if you are struggling with blocked sinuses, adding lemon juice and cayenne pepper to your glass of water is all you need to breathe freely again. Go to bed early They often say sleep is one the best natural doctors. Tomoko Takeda Canel, the acting beauty director, couldn't agree more. When she gets sick, she cancels all her plans, has a light meal and then prioritizes an early bedtime to get better.Next time you get a cold, keep these tips and tricks in mind, and you won't need over-the-counter drugs that can do more harm than good. Sources:",1
FDA to withdraw 2 generic ADHD drugs after determining they have no therapeutic effects,"FDA to withdraw 2 generic ADHD drugs after determining they have no therapeutic effects 
Tuesday, November 01, 2016 by: Vicki Batts Tags: FDA , ADHD drugs , market withdrawal (NaturalNews) ADHD medications have been subject to public scrutiny for quite some time. Two years ago, the FDA said it had discovered problems with a generic version of a popular ADHD drug known as Concerta. The generic, produced by the pharmaceutical company Mallinckrodt, just wasn't up to snuff. And now, the FDA seems to finally be making moves to pull this inferior product off the shelves.Generic drugs are approved by the FDA through their abbreviated new drug application (ANDA) process. In the ANDA process, the federal agency is primarily focused on data that shows the generic drug is a bioequivalent for the reference listed drug, or what many people refer to as the ""brand name"" drug.The term ""bioequivalent"" means that there is no substantial differences in bioavailability between a generic drug and the brand name product. Specifically, it suggests that the extent and rate of absorption of two drug equivalents over the same period of time, at the same dose and under the same conditions, should exhibit similar results. As the FDA explains on their website, ""The generic version must deliver the same amount of active ingredients into a patient's bloodstream in the same amount of time as the pioneer drug.""Unsurprisingly, discrepancies in actual equivalence are often discovered after a generic has been approved.Mallinckrodt's Concerta generic is not the only brand name knock-off under fire. Kremers Urban Pharmaceuticals, a subsidiary of the Lannett Company, also manufactures a generic form of the medication that the FDA's Center for Drug Evaluation and Research (CDER) has deemed insufficient.As reported by the Regulatory Affairs Professionals Society: CDER tracked the issues from December 2013 through June 2014, ran a re-analysis of bioequivalence data and ""determined that the Mallinckrodt product may deliver methylphenidate into the body at a slower rate than Concerta during the time period of 7 to 12 hours post-dosing."" Following the CDER's findings, Mallinckrodt filed a lawsuit, which was thrown out by a Maryland federal judge. The pharmaceutical company has since declined to voluntarily withdraw their product from the marketplace. And according to the FDA, the drug manufacturer has yet to submit any new data or information that confirms the bioequivalence of their product to Concerta.Similarly, the CDER concluded in June of 2014 that the data on the Kremers product is insufficient to determine whether or not their generic product is therapeutically equivalent to Concerta. In November that year, the FDA announced that their product was not sufficiently equivalent to the name brand.Both manufacturers may submit a request for a hearing to the FDA within the next month so they can attempt to show why approval for their drugs shouldn't be withdrawn.Of course, the FDA's concerns about the apparent lack of efficacy seen in these generic drugs is rather ironic, given the magnitude of other concerns surrounding these drugs. In 2006, a CBS News report revealed that 25 people died and 54 more suffered serious cardiovascular problems following the use of ADHD medication, in a period of just four years.That may not seem like a lot, but is important to recall that the FDA Adverse Event Reporting System (FAERS), which is used to track such events, is a voluntary system. Only drug manufacturers are required to report adverse events – if they know about them. Doctors, patients and family members are under no such obligation. PSQH reports that drug safety experts estimate that only about 10 percent of all adverse events will even be reported – who is to say how many people have been harmed by ADHD medications (and other drugs) and don't know it or haven't reported it?The FAERS website itself states that because of its own limitations, ""FAERS data cannot be used to calculate the incidence of an adverse event or medication error in the U.S. population."" And yet, in spite of this very statement, the FDA itself used this information to form a safety report?Over the years, several ADHD medications, like Adderall XR, have been linked to sudden death , cardiovascular problems and psychosis. According to Consumer Reports , the long-term safety of these drugs has not been evaluated or studied sufficiently, and there is evidence to suggest that the benefit of such drugs wears off after about two years. Many kids take ADHD medication for quite a bit longer than that.In spite of all of this, the FDA has yet to pull these drugs from the shelves, and is instead concerned with drugs that aren't strong enough. Medications that don't work obviously don't belong in the marketplace. However, drugs that are killing children don't belong there either. Sources:",1
How To Remove Uric Acid Crystallization in Joints,"How To Remove Uric Acid Crystallization in Joints http://blogs.naturalnews.com/remove-uric-acid-crystallization-joints/ 
By Twain Yobra 
Posted Tuesday, November 1, 2016 at 03:54pm EDT 
Joint pain prevents us from exercising or doing simple tasks like walking. Unfortunately, it only gets worse as we age. This happens because the fluid (synovial fluid) in the joints reduces as we age. Reduction of this fluid increases friction on the joints and leads to arthritis. 
But research also shows that uric acid can cause arthritis. Build-up of uric acid in the joints can damage joint tissues and cause pain. The build-up happens when the kidneys don’t excrete enough uric acid. It can also be triggered by the body converting purines to uric acid fast. Long-term build-up of uric acid can cause inflammation and reduce your mobility. 
Switch to an Alkaline Diet 
There’s been a never-ending argument about whether alkaline diets reduce acidity in the body or not. In fact, some experts have discredited them as useless. But what does research say? Well, this study found that alkaline diet enhances excretion of uric acid through urine. On the other hand, researchers found that acidic foods reduce excretion of uric acid. 
Another study affirms that alkaline diets can help reduce uric acid in the body. And they can prevent uric acid crystallization in joints. 
Note that more research needs to be conducted on effect of diet on uric acid crystal. 
Eat these alkaline foods 
You simply need to reduce intake of acidic foods and eat more alkaline foods. Alkaline foods are mostly vegetables and legumes. Red pepper",1
20 Foods That Naturally Unclog Arteries and Prevent Heart Attacks,"20 Foods That Naturally Unclog Arteries and Prevent Heart Attacks http://blogs.naturalnews.com/20-foods-naturally-unclog-arteries-prevent-heart-attacks/ 
By Twain Yobra 
Posted Tuesday, November 1, 2016 at 03:53pm EDT 
Arteries play a vital role in the body. They transport nutrients and oxygen throughout the body. And they can cause heart attacks if they’re clogged. Well, you can unclog them naturally by eating foods rich in antioxidants, soluble fiber and healthy fats. 
Here are 20 foods that will unclog your arteries and prevent heart attacks. 
1. Pomegranate: Pomegranate is rich in antioxidants which prevents the arteries from being damaged. Research also shows that pomegranate improves heart health by reducing bad cholesterol. 
2. Spirulina: Spirulina is regulates fat levels in the blood. And it’s rich in omega 3 fatty acids, which studies show prevents heart disease. 
3. Asparagus: This vegetable is rich in vitamins and minerals that prevent blood clots and lower blood pressure. 
4. Turmeric: Inflammation is one of the main causes of arteriosclerosis, and as you may know, turmeric fights inflammation. 
5. Cranberries: The potassium in cranberries can lower blood pressure and reduce risk of heart disease by up to 40 percent. 
6. Watermelon: One study found that L-citrulline (found in watermelon) can widen blood vessels and lower blood pressure. This can actually benefit men with mild erectile dysfunction. 
7. Avocado: Research shows that eat avocados every day can clean your arteries, lower bad cholesterol and increase good cholesterol. 
8. Broccoli: Broccoli contains vitamin K which prevents calcium from damaging the arteries. It’s also rich in soluble fiber which lowers cholesterol. 
9. Cinnamon: This spice unclogs the arteries of plaque build-up. Its antioxidant properties also improve cardiovascular health. 
10. Green tea: This powerful herb contains catechins which prevent absorption of cholesterol. This consequently prevents blockage of arteries. Drink 2-3 cups a day. 
11. Coconut oil: Taking coconut oil regularly can unclog the arteries and even convert bad cholesterol to good. 
12. Persimmon: Persimmon has antioxidants that reduce blood-lipid. It’s also rich in fiber which helps clean the arteries. 
13. Coffee: Research shows that drinking 2 cups of coffee a day can lower risk of heart disease by 20 percent. But excess consumption can increase blood pressure and cause anxiety. 
14. Cold-water fish: Eating these fish will fight inflammation and unclog your arteries. They include, mackerel, tuna, salmons, and sardines. 
15. Olive oil: Studies show that olive oil can reduce risk of cardiovascular disease by 41 percent. This is attributed to its ability to reduce oxidative stress and cholesterol. 
16. Spinach: This vegetable unclogs arteries because of its folate, potassium and fiber content. 
17. Orange juice: Oranges are rich in vitamin C which cleans the arteries and prevents oxidation of blood. 
18. Flaxseeds: Flaxseeds have been proven to fight inflammation, lower blood pressure and improve heart health. 
19. Raw nuts: Nuts like almonds will reduce blood pressure and fight inflammation. Use them to keep hunger at bay. 
20. Whole grains: Whole grains are rich in soluble fiber which lowers cholesterol and risk of high blood pressure. 
For more information on eating healthy and staying fit, download your FREE 3 Weeks Flat Stomach Guide to help you improve your health and physique. And like our Facebook page . You might also like…",1
Biblical Beginnings,"Ad 728×90 – HBS Account – 2149237058061490 http://blogs.naturalnews.com/biblical-beginnings/ 
By Hesh Goldstein 
Posted Tuesday, November 1, 2016 at 03:52pm EDT 
In the Beginning, when the earth was without form, and void, and darkness was on the face of the deep, Satan said, “It doesn’t get any better than this”! 
And God said, “Let there be light! “Let the earth bring forth grass, the herb, and the fruit tree yielding fruit”. 
And God saw that it was good. 
And Satan said, “There goes the neighborhood”! 
God then created man and woman and saw that they were lean and fit. 
God populated the earth with broccoli, cauliflower, spinach, and green and yellow vegetables. 
Satan said, “ I know how I can get back in this game”, and created the cheeseburger. 
And man said, “Supersize the fries”, and gained 5 pounds. 
Satan brought forth chocolate and Woman gained 5 pounds. 
Satan then brought forth fried chicken and fried steak so big, that it needed its own platter. 
And man’s cholesterol went through the roof! 
And God sent running shoes and man resolved to lose weight. 
But Satan brought forth the remote control and ESPN and ESPN 2, and Man gained another 20 pounds. 
And God said, “You’re running up the score Devil”, and brought forth the potato, a vegetable naturally low in fat and brimming with nutrition. 
And Satan peeled off the healthful skin and sliced the starchy center into chips and deep-fat fried them. 
And man clutched his remote and ate the potato chips, swaddled in cholesterol, and went into cardiac arrest. 
And Satan said, “This is good”! 
And God sighed and created quadruple bypass surgery. 
And Satan created HMO’s and Obamacare! 
Aloha! 
To learn more about Hesh, listen to and read hundreds of health related radio shows and articles, and learn about how to stay healthy and reverse degenerative diseases through the use of organic sulfur crystals and the most incredible bee pollen ever, please visit www.healthtalkhawaii.com, or email me at heshgoldstein@gmail.com or call me at (808) 258-1177. Since going on the radio in 1981 these are the only products I began to sell because they work. Oh yeah, going to www.asanediet.com will allow you to read various parts of my book – “A Sane Diet For An Insane World”, containing a wonderful comment by Mike Adams. In Hawaii, the TV stations interview local authors about the books they write and the newspapers all do book reviews. Not one would touch “A Sane Diet For An Insane World”. Why? Because it goes against their advertising dollars. You might also like…",1
5 Reasons to Consume this Every Day,"Keywords: Alzhemier's disease , anxiety , dementia , depression , food , health , IBD , IBS , immune system , mental health , nutrition , weight loss Fermented Foods: 5 Reasons to Consume this food Group Every Day 
I’m sure you have heard about fermented foods and are wondering if this is just a fad. Here are some reasons why fermented foods should not be just a fad but a food group to keep in your diet daily. What are Fermented Foods? 
Bacteria and yeast are used as part of the fermentation process that gives these foods a nutritional boost. The bacteria convert sugars and starches into lactic acid through a process called lacto-fermentation. The yeast undergoes a process called ethanol fermentation. 
These yeasts and bacteria that undergo the fermentation process boosts the nutritional content of the food. What it does to the food Provides beneficial bacteria that promote gut health Provides beneficial enzymes Increases the amount of B vitamins, biotin, and folate. Increases the bioavailability of minerals. Provides short chain fatty acids (which helps to improve your immune function) Provides you with GABA, your calming neurotransmitter How can eating fermented foods help me? Optimize your Gut Health 
Why this may not seem like a big deal, it is. Your immune system is in your gut and much of your serotonin is made in your gut. Your gut may be in bad shape from NSAIDS, antibiotics, unknown food allergies, the standard American diet and more. 
Ideally you want more “good” bacteria populating your gut as opposed to “bad” bacteria. Fermented foods can help shift the balance since most people who consume the Standard American “crap food” diet have a disrupted microbiome. 
So, you can take all the supplements in the world, but if your gut is in bad shape, are you even absorbing and benefiting from these supplements or are you just wasting your money? 
A healthy gut can help to balance and support your endocrine system, immune system, digestive system, and nervous system. So, as you can see, a healthy gut is critical to your well-being. Support your Immune System 
The more beneficial bacteria you have, the stronger your immune system is to fight off colds, flu, allergies and more. Almost 80% of your immune system is found in your gut, thus, it stands to reason that to maintain a strong immune system, one needs to support their gut health. 
Asthma and autoimmune conditions, among numerous other health issues, are all linked to having fewer good bacteria in your gut. The less diverse your microbiota is, the greater association with many chronic health issues. 
Adding in probiotic rich fermented foods can also shorten the duration of a cold or upper respiratory infection. Aid in weight loss 
Studies show that those with certain healthy bacteria in their gut can maintain a healthy weight while those with more negative strains have a greater incidence of gaining weight/difficulty losing weight. Obese people have different gut bacteria than lean individuals. 
In a 2011 study, it was found that kimchee had a significant impact on weight and body fat of those who are overweight and obese in the study. In a 2010 study, obese people were assigned to drink fermented milk for 12 weeks. Those that drank the fermented milk had significant fat loss as compared to the control group. Digestive/Bowel Issue Improvement 
Those with IBS or IBD may have reduced symptoms of diarrhea and constipation when fermented foods are added into the daily diet. Dr. David Williams states that to eliminate digestive issues, you need to improve the balance in the gut microbiome and one of the most effective ways of doing so is by adding in fermented foods. Kefir in studies, has shown to improve symptoms of IBS and IBD. Research has shown that anywhere from 50 to 75% of those who make this change (Adding in fermented foods) will notice a significant difference in their IBS symptoms. Improved mental health, mood control and behavior. 
The gut is considered your second brain. A healthy gut therefore can mean a healthy brain. Several probiotic strains have been shown to reduce symptoms of depression and anxiety in short term studies. For this reason, to get more variety of probiotic strains, it is best to not stick with the same fermented food to eat over and over. Mix it up; for instance, have kefir one day, kombucha the next, fermented vegetables the next day and so forth. 
Many of you know that GABA is your calming neurotransmitter. But did you know that fermented foods can supply you with GABA too? Oral administration of fermented rice bran and other traditional fermented foods have been shown to increase GABA content significantly! Whereas GABA in the oral form may have limited benefits due to absorption issues. 
Another study looking at 700 college students found that those who ate a variety of fermented foods has less negative emotions than before such as anxiety, fear, moodiness, worry, envy, frustration, and loneliness. 
It is possible that the fermented foods not only healed leaky gut but also provided some needed GABA. Even in psychiatry they are starting to recognize the benefits of fermented foods for mood disorders. Reduce the risk of brain diseases such as Alzheimer’s. 
Some scientists have recently begun to consider the possibility that Alzheimer’s Disease is in fact an autoimmune disease. And as many of you may know, having one autoimmune condition puts you at risk for more autoimmune conditions down the road. For any autoimmune disease, the immune system must be supported. So, it would make sense that gut health needs to be addressed for AD. If you want to support your brain than I suggest that you add in fermented foods. 
Along with the benefits above, fermented foods can also benefit those with Autism and help prevent H-Pylori. You don’t need a whole lot of fermented foods daily. Start with small amounts until you know how your body will react and slowly build your way up to say 3 tablespoons of fermented vegetables or a cup of kefir per day. What to add in 

Look for the product to say raw and fermented. These foods should be in the refrigerator section of the store. Sauerkraut or other fermented vegetables : eat these cold, don’t heat them up. Bubbies pickles is a great way to get introduced to fermented foods. Kimchee : this is a Korean version of fermented cabbage, carrots, onions and garlic. Kefir: usually made from cow’s milk but is also made from goat milk or coconut milk. It has more of a drinkable texture than yogurt. I buy goat milk kefir and find that it is relatively thick and mix in some of my paleo granola and have this for breakfast. If you suspect any issues with milk it is best to opt for the coconut kefir or the goat milk kefir. If you have asthma or chronic sinus congestion, avoid the kefir until issues resolve. Opt for the other fermented choices instead. Tempeh: Indonesian type of “cake” with a nutty taste and chewy texture. A good vegan source of protein too. Kombucha : a fizzy fermented tea. Most stores carry a variety of flavors now. Don’t go overboard on the kombucha however. Some people who drink kombucha in excess amounts (i.e.: several bottles per day) report symptoms of gas and bloating. Miso: a fermented soybean paste which can be used in soups and sauces. A miso broth soup is a great way to start a meal and very easy to make. 
Notice I did not sat yogurt. While some yogurts may contain some probiotics, many others are sugary processed foods in disguise. Yogurt is also not going to pack as powerful of a punch as the above-mentioned foods. 
Sources",1
This Simple Daily Tip Can Improve Your Health And Jumpstart Weightloss,"What we all should be doing first thing in the morning A simple, cheap and effective way to jump start your metabolism, weight loss and improve your health 
What if I told you that by doing this every day, making it part of your morning routine just like brushing your teeth, would help you to lose weight, flush out toxins, hydrate your body and skin, improve brain function, give you more energy and decrease your appetite, would you do it? 
Drinking water upon rising in the morning can have huge health benefits! Some people call it water therapy and has its origination in Ayurvedic medicine. It is purported to help with numerous diseases such as cancer, asthma, high blood pressure, arthritis, diabetes and migraines. 
To reap the benefits, drink the water upon waking (ideally 45 minutes before you eat) and make it part of your morning routine. Most us are walking around in a dehydrated state. So, start your day off the right way! 
Ideally filtered water that is void of chemicals and fluoride is best. I personally like the Berkey filter system as this is affordable for many instead of a whole house system. Most water pitchers are ineffective for removing most of the chemicals in our water but there are a couple good ones out there such as the “Clearly Filtered” pitcher. But even if you don’t have a water filter system, it does not mean you should not drink up. 
For most people 16 oz. of water in the morning is the right amount. Others say to drink double this amount. This may be a lot of water to consume for most people first thing in the morning. My suggestion would be to start out with 8 oz. and slowly work your way up to the higher amount and see how you feel. Moderation is key as too little or too much water is never a good thing. 
The 8 glasses filled with 8 oz. of water is a myth and no science behind this reasoning. Another simple rule is to divide your body weight in half and drink this amount in ounces. But if you are a large person, this may feel like you are spending your day drinking water! 
Instead focus on getting that glass of water first thing in the day and then add in water, herbal teas, fruits and vegetables during the day. If your urine is very pale yellow throughout the day, then you are hydrated. If it is a bright yellow to orange, drink up! Riboflavin, a B vitamin can make your urine a bright yellow. Benefits to drinking water first thing in the morning It can jump start your metabolism 
It can increase your metabolism by 24% for the first 90 minutes after consuming that glass of water. Another study showed that it can increase your metabolic rate by 30% for the next 40 minutes after the water is consumed. Hydration This is more important that you think. When dehydrated, we may experience brain fog, lack of energy and metal clarity. Hydrating in the morning can increase the flow of oxygen which is energizing. Hydrating will also help the skin to look younger. Flushes out toxins 
Support your kidneys by helping them to flush out toxins and give your body the water it needs first thing in the a.m. Speed up the detox process by adding a tablespoon of lemon juice to your morning water. This is best done prior to brushing your teeth in the morning as the film on your teeth will protect the enamel from the acidity in the lemon juice. Support brain health 
Your brain tissue is 75% water. Not having enough water can make you feel tired, drained and can cause mood swings. Prevent you from overeating Just by drinking water you feel full. Studies show that those who consume water before every meal lost an average of 4.5 pounds over a three-month period. That’s with no dieting, not changing your eating habits-just adding in water. Less colds and Flu 
Staying hydrated helps to maintain the health of your lymphatic system which also affects how your body fights off infection. 
If you are looking for a simple, cheap and effective way to improve your health and stimulate weight loss, then this is it! 
Sources 
Bauman, E. & Friedlander, J. (2014) Therapeutic Nutrition. CA: Bauman College. 
Carroll, A. (8/24/15) No, you do not have to drink 8 glasses of water a day. http://www.nytimes.com/2015/08/25/upshot/no-you-do-not-have-to-drink-8-glasses-of-water-a-day.html",1
Lower Back Pain: How to Treat It Efficiently,"Arthritis(inflammation of one or more joint) Illness A spine problem you were born with. Fibromyalgia (a disorder that causes fatigue and muscle pain) Compression fractures 
To get quick and effective relief from back pain, you can follow some tips mentioned over here to get rid of this irritating pain. 
Sometimes back pain is serious. In such conditions, it’s obvious that you will call your doctor. But for routine and mild back pain, you can do some home remedies for quick relief . 
Ice & Heat to the Rescue In first 24-48 hours of an injury, ice is best as it reduces inflammation. Use ice for about 20 minutes on your back then take it off to give your back skin rest. If pain persists, talk to a doctor. After 48 hours you can switch to heat if you prefer. But in first 48 hours when you have acute pain, an ice pack is only recommended. 
Move Your Spines 
Our body is made to move, so does our spine. Keep doing your daily life activities to feel better. Go to work, make the beds, walk the pet. If you are in a state to do aerobic exercises such as bicycling, swimming and walking then carefully do them. Just don’t overdo it. You can keep your back pain in mobile by doing so. 
Exercise and Stretch 
Regular physical activity keeps you away from this types of pain. A simple exercise like walking, running can be proved very helpful in healing such pain. It is advisable to consult your physician for a list of exercises suitable for your age and health conditions. 
Stretch: Apart from exercise, stretch helps you recover from back pain quickly. Always stretch before any physical activity or exercise to warm up yourself. Also, stretch for 10-15 minutes before going to bed. Sitting for long hours in a desk chair all day and bending forward after every other minute to see monitor or file is the reason of back pain in office goers. If you are among those people, then don’t forget to stretch your legs and do office yoga to get rid of this pain. 
Massage Your Back 
Heat some sesame oil or coconut oil on a low flame with eight cloves of garlic in it. Apply the mixture on the affected area and massage it thoroughly for at least 10-15 minutes . Leave it for 3-4 hours then wash it off with warm water or if you wish you can take a bath of warm water. 
If you do not want to do so much effort, then mix some camphor in your massage oil and apply it to your back. 
To help keep your back healthy and avoid further pain: 
Sleep Well 
Bad posture while sleeping often causes back pain. Always sleep on your side and firm surface rather than on soft mattresses like an amerisleep mattress. If you feel back pain on a regular interval, then t here are mattresses available in the market, especially for back pain patients. 
Always sit in a chair that is designed to keep your back straight and practice good posture when you stand. 
Healthy Weight 
It has often seen that overweight is the cause of back pain. Our ribs and area above the legs already bear most of the body’s weight, and when you are overweight, it puts extra weight on that part of our body. So, eat fruits and green vegetables and avoid eating processed food. Hit gym regularly to get your body lean and toned. 
Also, avoid lifting heavy weights. 
Calcium 
As you know, calcium makes our bones strong. It also protects your spine from osteoporosis. Eating calcium-rich foods in your diet such as milk and dairy products, finger millet, green leafy veggies, sesame, small fish with bones, etc. reduce the chances of getting serious lower back pain. So, increase your calcium intake. 
Change Your Lifestyle 
If you work in an office , bend forward after every few minutes and sit for longer hours then keep stretching and doing office yoga at work to avoid getting lower back pain. 
Author – This post is written by Jane who has written reviews about mattresses available in the market for back pain . You might also like…",1
